comment,star
" 怪物吃掉了一只猫的头，我不开心(。?ˇ?ˇ?。)
        ",3
" 游戏宅和影迷的春药！还原《闪灵》那场戏看到要爆炸了！值得去电影院刷十遍！
       ",5
" 一个科技秒杀钢铁侠的国度，争个国王竟然还是比谁更能打？这也是非常朋克了。
       ",3
" 这是威尼斯金狮奖?这是尼斯湖水怪们刷票选出来的吧
        ",3
" 不说了，洗脸去了
        ",4
" 我也愿意敬会治脱发的怪兽为神
        ",5
" 它是你们的情书，我的命。
        ",5
" 走马观花的IP大赏，剧情人物基本不通，鸡汤也撒得不知所云。适合跟塑料姐妹们一起假嗨
  ",3
" 鱼人落跑后第一件事居然是去看电影。陀螺这次真是太浪漫太柔软。
        ",4
和孙子兵法简单比较一下，就能看到东西方思维的差别。,4
" 真的是演成部落战争了，场面小气。剧情也很干巴巴。只能期待第二个彩蛋说的新故事了。
   ",2
" Love is about two weirdos cuddle each other
",5
业界良心是没错！可是那昏黄的色调啊。。。。。。。。啊。。。。。。。。,4
母语阅读本该省时间的，不是？,4
" 景美萝莉也美，最后二十分钟里哭得稀里哗啦TAT
        ",5
特别好，我要买齐一套。不光可以更好的理解小孩，也能更好的理解自己。,5
临了一遍，很好的教程和讲解。还是好几张都画坏了和画不出来。,4
把蛋糕做大需要合作，分蛋糕就是竞争。厚黑之学可以不用，不可不知。,4
" 太好看了！歌也好好听！哭了好几次，太感人了
        ",5
" 杂耍电影，幼稚园想象力，看到一半气得直哭。
        ",1
学历增长了并不能改变人群盲从的天性啊，所以只有少数人才能成为精英，任何社会都是一样的。,5
看过《如何说孩子才会听，怎么听孩子才肯说》后，这本是不是看就无所谓了,4
水彩进阶好物，有点难，但是画完应该进步会非常大，在缓慢临摹中。,5
一看到张德芬推荐，就知道是走缥缈路线，没有严谨的理论。这种书看一本典型的就够了。,3
人们缺乏领导积极性有两个主要原因：缺乏战略见解以及害怕被拒绝。,5
现实到鲜血直流，温暖到无以复加。如果公司是战场，无论多受排挤，都不要放弃。因为外面是地狱。,5
影响我世界观的书,5
" 好想在有生之年玩一场全民大战马化腾
        ",5
" 很软很甜很美，只有一个问题：边缘人怪胎就只能跟皮皮虾乌龟混血伸缩屌妖怪谈恋爱吗？
   ",4
抄袭狗,1
故事很奇怪，讲得很好。不太理解伊莎贝拉是怎么回事。,4
这书相当好。平实而深刻。,5
说的是明白了。没做过父亲的我，只能反思自己的童年。。。。,3
每个人都要花一生的时间去处理亲密关系 感觉我要花两生。。。,4
太棒了！,5
" 难道是政治阻止了爱？圣母婊以为爱可以战胜一切
        ",3
" 老男孩斯皮尔伯格或许借此片宣告了未来电影的走向，电影不再是用来看的，而是用来玩的
   ",4
" 导演怎么最近总拍这么…额…复古的本子？全片最感人的是那个毛子科学家，那才真的是大爱
  ",3
大爱伯林。多元意味着相对吗？是否存在最低限度的界定标准？我们需要“责任与判断”吗？,5
愿为长安轻薄儿，生当开元天宝时。斗鸡走狗过一生，天地兴亡两不知。,5
每天读一点，小剂量服食，全方位击中,5
吐槽文，而且过于偏激了。,3
好书，需要自己体会。有两个力以前没有认识到，要再读的书。,4
入门指导第一书、技巧介绍很棒，临摹练习也能学习到许多，不错不错。,5
通往未来的组织与领导力手册。大赞。,5
讲自己要放弃那一段内心活动，真的是泪点。,5
某人中学的生日礼物，看过后自己去买了套,4
" 就像第一次玩俄罗斯方块，那个竖条降落的时候的感觉。我没办法给出更高的评价了。
     ",5
" 非常陀螺的一部电影：怪兽的、怀旧的、迷影的、略暗黑童话的。
        ",4
好书,5
该作者文章涉嫌抄袭。,1
整本书，每一个人物都既让我感觉恐惧，又感觉心痛。,5
看过陕博，布展黑底打光，金银器愈加煌煌。杯盘环钏，大唐的片羽吉光。,5
对自己很有启发的一本书，毕业这么多年，发现自己居然没有做“积累职场资本”这件事，有点悲伤。,5
读下去会大吃一惊……,5
很扎实。,5
指出不面对的因素（真相和现实），但是关于解决的方法则比较空——归咎于问灵魂。,4
抓住了领导的本质，共鸣和共同的人生目标。,5
"中信出版的东西怎么这么燃？
人生也是一盘缩小的棋局，未到收官，谈何言败？",5
西方军事理论的经典，我中学时代的最爱,4
" 宝莱坞了不得啦
        ",5
" 斯皮尔伯格就是那个头号玩家。
        ",0
没什么特别大的想法，可能还需要深入读,4
呵呵。。。,2
在豆瓣阅读看完，很多表格没有转换成可标记的文本着实可惜。,3
正确的废话，真的是浪费时间。。。,1
写得不明了,3
西藏是我国的洗衣机 可能大溪地就是欧洲人民的洗衣机吧。。,4
本书写于1987年，举了很多例子，包括书和电影。,4
孩子出生后，每年要抽时间读一遍,5
超级棒啊，这个老师,5
轻松点，经营不好丢了就是，当科学研究累不累,4
风格太学术，主题大而全，适合做论文写作的参考书，对实践帮助有限。,3
我的战略思想入门,5
比花边新闻严肃 比人物传记倾于讨好,4
一直都听人说犹太人非常注重教育，看安妮，即使在朝不保夕的险恶环境里，依然要读书学习写功课,4
对这种没头没脑的短篇有偏爱。,4
我收回“克里斯蒂的小说平淡得像白开水”的无知论断,5
一直觉得波洛主业是媒婆，偶尔客串下侦探。,3
以后这种小说，还是等电影出来再看吧，电影也就两个小时，看书得花费我多少时间阿亲。,4
"擦干眼泪该干嘛干嘛吧，暴风雨过去就会有晒被子的好天气。
",5
我的第一本书。,4
作者絮絮叨叨的,4
故事精彩，转折很多，猜不到结局，但真心不喜欢艾丽斯，也没有特别感觉到她对孩子的爱,4
“关于人类事务的所有核心信念都源于个人的困境。”,5
阴差阳错没有买到，感谢@秋色波连波 提供的网上资源！ 质量绝赞。,5
失眠者缱绻于饮鸩的酣畅之中,5
到了一定的人生阶段，就该看看这样的书了。,5
“人类一生，就是依赖映在视网膜上的倒立虚像，不断测量着自己和世界之间的距离吧。”,4
有时候 美需要一点冷落才能应运而生,5
即使是没有孩子的人，看过也有所启发。,4
关于理解和沟通的一部分很有用。不过看了之后对我爸妈心怀无数怨念。,4
管理就是管理能量。慢慢实践中~,4
想想剧版，觉得林时完真好看,5
永远别打莫斯科，永远别把陆军派到中国……,4
"最令人难过的事情大概就是你很伤心, 同时你知道你迟早会淡忘.",4
太一般了！看这么高分以为是这类书中出类拔萃的呢…是我太天真,2
爱情是爱情的良药，继续走，继续失去。,3
尽管被标注了“二战”、“犹太人悲惨生活”等标签，我更愿意把她看成少女的成长日记。,4
很拖沓啊,3
话说，这个版本的错别字也太多了吧？,3
以后绝不再买畅销书,2
我居然还读过这种书，当年真是好高贵,5
作者可以标很多标签，神经质+抑郁症+不知所谓+生活混乱……中文书名翻译很棒，其他一塌糊涂。,1
"还民国太太 民尼玛个逼
",1
找一处干涸的海口入海。我和你相隔的不是鱼群，是蒸馏过的睡神的一息。,5
12条总结得不错，可以拿来当能力模型,4
老生常谈....不想多说了,2
在直岛看他做的神社，背后的洞穴是发光的阶梯，眼前黑色的通路劈开植物看到大海一隅。,5
烂尾了，有时候，人是自己矫情死的。,4
针对孩子的感受做出回应、理解和尊重，而不是针对其行为。,5
绘画梦都被重燃了,5
前人还是很有范儿的,5
" 一个科技秒杀钢铁侠的国度，争个国王竟然还是比谁更能打？这也是非常朋克了。
       ",3
拥抱生命的核心伤痛,5
经济不独立怎能有独立的人格呢。,5
胜利完结，大伤元气,4
